Asb4,6.51179116958526e-31,1.44487340054782,0.943,0.359,0.584,71358591
Prkcq,3.31593180113003e-19,0.541720525493523,0.814,0.277,0.537,71670693
St8sia2,5.60536433258397e-19,0.585722913700183,0.771,0.239,0.532,77925023
Trh,1.8596738766215e-21,0.862606349216285,0.557,0.055,0.502,71016631
Prph,5.22177795612138e-11,0.5239049338231,0.7,0.262,0.438,70232000
Fam19a2,1.94018868438285e-13,0.3384903687249,0.629,0.192,0.437,73636033
Clic1,5.68150912863343e-12,0.523872506518077,0.614,0.192,0.422,67809267
Fstl5,2.77986425591434e-10,0.287769336083796,0.743,0.327,0.416,72283812
Adra2a,2.71776672936256e-09,0.37087504814857,0.686,0.287,0.399,73615550
Slc6a1,1.54934167307281e-10,0.47328418082682,0.8,0.409,0.391,476
Tmem176b,8.78771083759917e-10,0.465715995215596,0.886,0.501,0.385,77866852
Pou6f2,6.53973807890737e-13,0.563354629520463,0.486,0.105,0.381,71249067
Tenm2,3.15139066855154e-20,0.927934872117116,1,0.628,0.372,79591631
Tmem163,1.68612963203587e-11,0.535916208811751,0.929,0.559,0.37,71670711
Hrh3,4.84352278506183e-09,0.284998096514213,0.914,0.556,0.358,73636034
S100a16,2.94740702806042e-08,0.247316227721852,0.6,0.242,0.358,77371787
Dpy19l1,2.69398284129687e-07,0.259640104998492,0.6,0.247,0.353,75042226
Amigo2,1.84089276276154e-09,0.392381682700705,0.929,0.579,0.35,71250310
Sh3bp4,8.14891260742365e-08,0.204674819344744,0.571,0.224,0.347,75774110
Fnbp1l,5.09897901565419e-07,0.462943699754231,0.757,0.419,0.338,70560266
Crym,3.74253332375075e-10,0.307759576357246,0.414,0.077,0.337,73592526
Gad2,5.26919333975865e-08,0.36856545659791,0.871,0.534,0.337,79591669
Pdgfd,3.58472599092931e-09,0.392788938387242,0.429,0.1,0.329,1910
Ptprt,2.34921611381996e-10,0.496679265468763,0.814,0.489,0.325,866
Manea,4.80320735305005e-07,0.279655203407567,0.9,0.576,0.324,74882656
Gad1,1.43474019030148e-08,0.338627240753221,0.471,0.147,0.324,79556706
Gpx3,2.81598421085431e-08,0.128238683324778,0.643,0.334,0.309,75080750
Fstl1,9.36590983877775e-10,0.340644865724557,0.971,0.663,0.308,71016596
Tbc1d9,1.44473318127682e-06,0.1546937593711,0.814,0.506,0.308,72079987
Vwc2,1.49133704051294e-06,0.282221111629172,0.629,0.322,0.307,77332096
Sema6a,1.23643768558175e-06,0.193719456964623,0.643,0.337,0.306,71358651
Pam,1.91499132172714e-09,0.60804932763932,0.929,0.626,0.303,73997147
Il4ra,7.03190341067735e-08,0.239806111915141,0.4,0.1,0.3,77413692
Flrt2,6.50251027893705e-07,0.235515408665377,0.457,0.16,0.297,73931417
Akap13,8.29330636413454e-07,0.336355418862118,0.643,0.347,0.296,74581373
Pcdh17,6.88549634481211e-08,0.0739756365556922,0.643,0.352,0.291,73636095
Car10,2.18053969681945e-11,0.605881161337755,0.914,0.626,0.288,71587832
Cxcl14,2.79584621801088e-09,0.109441000133743,0.429,0.142,0.287,74272041
Slc29a1,9.09607729823461e-07,0.0986627866479909,0.671,0.392,0.279,1838
Tspan5,4.80823624806587e-08,0.15244758776225,0.614,0.339,0.275,74657928
Ppp1r9a,5.39939744834391e-07,-0.0011105835517371,0.843,0.576,0.267,71064176
Pcsk6,5.90308702577297e-08,0.0964785825677072,0.471,0.207,0.264,75084491
Hspb1,1.19256067988767e-07,0.221574888112009,0.357,0.097,0.26,74363357
Ajap1,9.46812433142459e-07,0.48421811220187,0.914,0.661,0.253,71717560
Col25a1,1.3013297685461e-08,0.228688706232041,0.943,0.698,0.245,71924301
Fgfr1,4.2627224580162e-07,0.556852382994735,0.9,0.656,0.244,79588290
Pde5a,1.8054065916945e-06,0.211017812435665,0.329,0.085,0.244,73931641
Mtmr6,1.98824797337299e-06,0.0646264522015614,0.957,0.713,0.244,74658087
Rps6ka2,1.64304535747718e-06,0.2910179343812,0.914,0.676,0.238,70301276
Lsamp,5.65952238923424e-08,-0.105702613261493,0.957,0.733,0.224,625
Strn,2.98249757560802e-07,-0.0104389465780448,0.5,0.282,0.218,73521824
Sox14,1.09917438158064e-07,0.102537921109264,0.286,0.075,0.211,73636036
Ephb1,1.86889202220536e-06,0.259928646432874,0.257,0.047,0.21,72077478
Gria4,2.45527258536718e-08,0.352526286962175,0.986,0.776,0.21,71358628
Ngfr,9.14389130550394e-09,0.047280822827373,0.286,0.085,0.201,79591691
Satb2,2.01210885496599e-06,0.0620736307829187,0.3,0.105,0.195,73992708
Trim28,9.25735914472682e-09,0.0227133856826858,0.629,0.436,0.193,1071
Ntrk2,8.13450837418389e-07,0.281290985605742,1,0.81,0.19,746
Prdx3,4.86539119480631e-07,-0.114139173614926,0.771,0.591,0.18,70743842
Taok1,3.82852858846883e-07,-0.164909670055673,0.957,0.778,0.179,74819235
Fxyd5,8.19184770067417e-08,0.091479592222629,0.2,0.022,0.178,74819694
Ngb,1.25485996189097e-06,0.0949775807843897,0.2,0.022,0.178,79556712
Nr3c1,4.27260394716568e-07,0.329364008904638,1,0.828,0.172,727
Adra1a,1.4303442841547e-06,-0.0118131207616967,0.514,0.342,0.172,75042247
Hax1,2.78310894849686e-07,-0.0689894847623633,0.729,0.566,0.163,2303
Vgf,1.9617628036507e-09,-0.130538174747992,0.471,0.309,0.162,71924165
Ifngr2,1.11301559210799e-07,-0.0746781146428269,0.671,0.511,0.16,1460
Ncdn,8.16564261468293e-07,-0.0938409733652129,0.714,0.561,0.153,684
Cdh13,8.1804803020232e-22,0.604378507011648,0.986,0.835,0.151,77869863
Ube2ql1,1.91459454118935e-06,0.161566569048039,0.986,0.835,0.151,71249083
Mapk3,8.44767155256622e-07,-0.119615356525562,0.614,0.474,0.14,32576
Cadm2,1.72600511027012e-11,-0.503119901769541,0.9,0.766,0.134,73635999
Cpne7,9.4262272624216e-08,-0.324189374238773,0.914,0.786,0.128,73817432
Pclo,1.62974720455415e-07,0.298681965026464,1,0.88,0.12,71670682
Vsnl1,5.24829681058049e-11,0.294513858612024,0.986,0.868,0.118,1106
Prkacb,1.25996258592498e-08,-0.238810082363257,0.971,0.853,0.118,75043158
Pcp4,1.53942044615449e-06,-0.258940182679275,0.829,0.711,0.118,772
Ppp3ca,1.34735503815108e-10,-0.361163688736999,0.957,0.853,0.104,73817435
Napb,8.10607598214483e-07,-0.260798581911226,0.943,0.84,0.103,75651234
Pik3r3,5.19985068435195e-08,-0.0271280657997491,0.271,0.17,0.101,74583163
Tanc1,3.27634454997716e-08,-0.116176361339765,0.357,0.259,0.098,72081515
Ramp1,2.04208092819643e-06,-0.018846843955653,0.157,0.07,0.087,1912
Atp8a1,9.88099576901241e-08,-0.387682609960644,0.914,0.833,0.0810000000000001,74881560
Syt4,6.72543516491223e-07,-0.274526027783689,0.986,0.905,0.081,2651
Rnasek,6.34239338204544e-07,-0.124627857852255,0.557,0.481,0.0760000000000001,75934529
Dnaja4,2.86412606021744e-07,-0.151900319974857,0.414,0.342,0.072,70744391
Cpe,2.05244092671871e-07,-0.263155247923504,0.986,0.915,0.071,1691
Fdft1,1.53602261421757e-09,-0.373181244591405,0.886,0.818,0.0680000000000001,75041432
Tubb4a,1.36720557816498e-06,-0.132793209221809,0.529,0.464,0.065,1081
Hmgcs1,1.41085757645899e-07,-0.310710292494709,0.9,0.838,0.0620000000000001,80517057
Pgm2l1,2.201678033397e-11,-0.433598755802427,0.957,0.898,0.0589999999999999,70615597
Tbc1d14,2.73575208254785e-10,-0.144211286811156,0.414,0.367,0.047,71020391
Zfyve9,3.09075825064732e-08,0.425248406615393,0.371,0.327,0.044,73521827
Dcbld2,8.42570942786479e-07,-0.176821680983652,0.457,0.431,0.026,73992944
Gpd2,2.76457483324765e-08,-0.306859961229085,0.443,0.434,0.00900000000000001,70615598
Slc18a2,1.46083283175506e-15,0.537486558418965,0.986,0.98,0.00600000000000001,79591703
Snca,2.89209597910818e-14,-0.551792511761842,0.843,0.84,0.003,986
Spock3,6.03413281200573e-07,-0.489045035579587,0.729,0.728,0.001,70634298
Rab3c,7.93897025665619e-12,-0.540595346590517,0.714,0.751,-0.037,73521805
Esr2,2.0300355676955e-07,-0.0634919933919069,0.029,0.125,-0.096,71670737
Kcnab1,5.64756366673286e-07,-0.322845683342507,0.257,0.379,-0.122,70301087
Adcy2,6.53586696003421e-08,-0.456451278881347,0.314,0.441,-0.127,79567501
Pbx3,1.82980254628036e-08,-0.482836301844763,0.443,0.586,-0.143,76085744
Utrn,3.58110367767755e-07,-0.282725309628542,0.071,0.214,-0.143,73929872
Miat,1.53635662905606e-08,-0.227257908951932,0.157,0.302,-0.145,72340194
Tenm3,1.53340306621658e-07,-0.151673217695376,0.057,0.214,-0.157,79908833
Crtac1,2.78140575430314e-08,-0.414073983472803,0.357,0.556,-0.199,75749739
Crhr2,1.79835365855318e-06,-0.278199994440662,0.043,0.269,-0.226,79907934
Mgll,5.58141112748259e-07,-0.624776334579638,0.286,0.514,-0.228,72129243
Pcdh11x,7.39591850502704e-09,-0.423479917897664,0.071,0.302,-0.231,73521002
Slit2,2.02922550324354e-07,-0.403015548465409,0.114,0.364,-0.25,980
Ntm,3.03535316922015e-09,-0.605437575181195,0.286,0.564,-0.278,573
